patcnty1,dsch_yr,mdc,mdc_desc,Discharges,AnnotationCode,AnnotationDesc
Alameda,2014,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1377,,
Alameda,2014,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1932,,
Alameda,2014,22,BURNS,99,,
Alameda,2014,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2473,,
Alameda,2014,24,MULTIPLE SIGNFICANT TRAUMA,336,,
Alameda,2014,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,249,,
Alameda,2015,0,UNGROUPABLE,11,,
Alameda,2015,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",7712,,
Alameda,2015,2,"EYE, DISEASES & DISORDERS",147,,
Alameda,2015,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1348,,
Alameda,2015,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",10453,,
Alameda,2015,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",12915,,
Alameda,2015,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10015,,
Alameda,2015,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3652,,
Alameda,2015,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11273,,
Alameda,2015,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3122,,
Alameda,2015,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3803,,
Alameda,2015,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4902,,
Alameda,2015,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",399,,
Alameda,2015,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1441,,
Alameda,2015,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20323,,
Alameda,2015,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19843,,
Alameda,2015,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1562,,
Alameda,2015,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1271,,
Alameda,2015,18,INFECTIOUS & PARASITIC DISEASES,9544,,
Alameda,2015,19,MENTAL DISEASES & DISORDERS,7256,,
Alameda,2015,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1225,,
Alameda,2015,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1746,,
Alameda,2015,22,BURNS,94,,
Alameda,2015,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2282,,
Alameda,2015,24,MULTIPLE SIGNFICANT TRAUMA,364,,
Alameda,2015,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,249,,
Alameda,2016,0,UNGROUPABLE,1,,
Alameda,2016,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8223,,
Alameda,2016,2,"EYE, DISEASES & DISORDERS",203,,
Alameda,2016,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1213,,
Alameda,2016,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9858,,
Alameda,2016,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13209,,
Alameda,2016,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",10120,,
Alameda,2016,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3666,,
Alameda,2016,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11622,,
Alameda,2016,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",3008,,
Alameda,2016,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3979,,
Alameda,2016,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",5075,,
Alameda,2016,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",399,,
Alameda,2016,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1368,,
Alameda,2016,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",20644,,
Alameda,2016,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,20105,,
Alameda,2016,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1556,,
Alameda,2016,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1440,,
Alameda,2016,18,INFECTIOUS & PARASITIC DISEASES,9991,,
Alameda,2016,19,MENTAL DISEASES & DISORDERS,7065,,
Alameda,2016,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1248,,
Alameda,2016,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1684,,
Alameda,2016,22,BURNS,79,,
Alameda,2016,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,1226,,
Alameda,2016,24,MULTIPLE SIGNFICANT TRAUMA,385,,
Alameda,2016,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,219,,
Alameda,2017,0,UNGROUPABLE,6,,
Alameda,2017,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8242,,
Alameda,2017,2,"EYE, DISEASES & DISORDERS",167,,
Alameda,2017,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1259,,
Alameda,2017,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9845,,
Alameda,2017,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",13363,,
Alameda,2017,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9692,,
Alameda,2017,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3708,,
Alameda,2017,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",11459,,
Alameda,2017,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2884,,
Alameda,2017,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3904,,
Alameda,2017,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4794,,
Alameda,2017,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",407,,
Alameda,2017,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1104,,
Alameda,2017,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19881,,
Alameda,2017,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,19154,,
Alameda,2017,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",1474,,
Alameda,2017,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1399,,
Alameda,2017,18,INFECTIOUS & PARASITIC DISEASES,10953,,
Alameda,2017,19,MENTAL DISEASES & DISORDERS,6938,,
Alameda,2017,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1195,,
Alameda,2017,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1610,,
Alameda,2017,22,BURNS,113,,
Alameda,2017,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,1174,,
Alameda,2017,24,MULTIPLE SIGNFICANT TRAUMA,384,,
Alameda,2017,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,241,,
Alameda,2018,0,UNGROUPABLE,3,,
Alameda,2018,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",8269,,
Alameda,2018,2,"EYE, DISEASES & DISORDERS",160,,
Alameda,2018,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1221,,
Alameda,2018,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",9344,,
Alameda,2018,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",14103,,
Alameda,2018,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",9365,,
Alameda,2018,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3615,,
Alameda,2018,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",10274,,
Alameda,2018,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2466,,
Alameda,2018,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",3823,,
Alameda,2018,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",4607,,
Alameda,2018,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",396,,
Alameda,2018,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",1017,,
Alameda,2018,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",19403,,
Alameda,2018,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,18595,,
Alameda,2018,16,"BLOOD, BLOOD FORMING ORGANS,IMMUNOLOGICAL, DISEASES & DISORDERS",1492,,
Alameda,2018,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,1270,,
Alameda,2018,18,INFECTIOUS & PARASITIC DISEASES,11542,,
Alameda,2018,19,MENTAL DISEASES & DISORDERS,6734,,
Alameda,2018,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1111,,
Alameda,2018,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1605,,
Alameda,2018,22,BURNS,115,,
Alameda,2018,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,909,,
Alameda,2018,24,MULTIPLE SIGNFICANT TRAUMA,404,,
Alameda,2018,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,206,,
Alpine,2012,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",3,,
Alpine,2012,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",4,,
Alpine,2012,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",1,,
Alpine,2012,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",4,,
Alpine,2012,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",,1,Cell suppressed for small numbers
Alpine,2012,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",,1,Cell suppressed for small numbers
Alpine,2012,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,,1,Cell suppressed for small numbers
Alpine,2012,19,MENTAL DISEASES & DISORDERS,1,,
Alpine,2012,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",1,,
Alpine,2012,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,3,,
Alpine,2012,24,MULTIPLE SIGNFICANT TRAUMA,1,,
Alpine,2013,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",2,,
Alpine,2013,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",3,,
Alpine,2013,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",2,,
Alpine,2013,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",3,,
Alpine,2013,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",1,,
Alpine,2013,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",,1,Cell suppressed for small numbers
Alpine,2013,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,,1,Cell suppressed for small numbers
Alpine,2013,18,INFECTIOUS & PARASITIC DISEASES,1,,
Alpine,2013,19,MENTAL DISEASES & DISORDERS,2,,
Alpine,2013,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,1,,
Alpine,2014,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",,2,Cells suppressed for complementary cell
Alpine,2014,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1,,
Alpine,2014,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",2,,
Alpine,2014,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",1,,
Alpine,2014,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",2,,
Alpine,2014,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",3,,
Alpine,2014,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",,1,Cell suppressed for small numbers
Alpine,2014,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,,1,Cell suppressed for small numbers
Alpine,2014,18,INFECTIOUS & PARASITIC DISEASES,2,,
Alpine,2014,19,MENTAL DISEASES & DISORDERS,4,,
Alpine,2014,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,2,,
Alpine,2015,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",1,,
Alpine,2015,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1,,
Alpine,2015,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",2,,
Alpine,2015,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",1,,
Alpine,2015,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7,,
Alpine,2015,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",1,,
Alpine,2015,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",1,,
Alpine,2015,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",,1,Cell suppressed for small numbers
Alpine,2015,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",,1,Cell suppressed for small numbers
Alpine,2015,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,,1,Cell suppressed for small numbers
Alpine,2015,19,MENTAL DISEASES & DISORDERS,3,,
Alpine,2016,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",,2,Cell suppressed for complementary cell
Alpine,2016,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",1,,
Alpine,2016,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",4,,
Alpine,2016,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",1,,
Alpine,2016,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",2,,
Alpine,2016,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",1,,
Alpine,2016,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7,,
Alpine,2016,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",3,,
Alpine,2016,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",,1,Cell suppressed for small numbers
Alpine,2016,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,,1,Cell suppressed for small numbers
Alpine,2016,19,MENTAL DISEASES & DISORDERS,2,,
Alpine,2016,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1,,
Alpine,2016,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",2,,
Alpine,2016,22,BURNS,1,,
Alpine,2017,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",1,,
Alpine,2017,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",3,,
Alpine,2017,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",1,,
Alpine,2017,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",3,,
Alpine,2017,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",2,,
Alpine,2017,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",1,,
Alpine,2017,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",,1,Cell suppressed for small numbers
Alpine,2017,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,,1,Cell suppressed for small numbers
Alpine,2017,19,MENTAL DISEASES & DISORDERS,4,,
Alpine,2018,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",2,,
Alpine,2018,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",4,,
Alpine,2018,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",4,,
Alpine,2018,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",2,,
Alpine,2018,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",3,,
Alpine,2018,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",7,,
Alpine,2018,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",1,,
Alpine,2018,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",5,,
Alpine,2018,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",1,,
Alpine,2018,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",13,,
Alpine,2018,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,12,,
Alpine,2018,19,MENTAL DISEASES & DISORDERS,2,,
Alpine,2018,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,1,,
Amador,2012,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",271,,
Amador,2012,2,"EYE, DISEASES & DISORDERS",7,,
Amador,2012,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",31,,
Amador,2012,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",376,,
Amador,2012,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",767,,
Amador,2012,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",454,,
Amador,2012,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",155,,
Amador,2012,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",576,,
Amador,2012,9,"SKIN, SUBCUTANEOUS TISSUE & BREAST, DISEASES & DISORDERS",104,,
Amador,2012,10,"ENDOCRINE, NUTRITIONAL, AND METABOLIC, DISEASES & DISORDERS",100,,
Amador,2012,11,"KIDNEY AND URINARY TRACT, DISEASES & DISORDERS",142,,
Amador,2012,12,"MALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",28,,
Amador,2012,13,"FEMALE REPRODUCTIVE SYSTEM, DISEASES & DISORDERS",76,,
Amador,2012,14,"PREGNANCY, CHILDBIRTH, & THE PUERPERIUM",334,,
Amador,2012,15,NEWBORNS AND NEONATE CONDITIONS BEGAN IN PERINATAL PERIOD,301,,
Amador,2012,16,"BLOOD, BLOOD FORMING ORGANS, IMMUNOLOGICAL, DISEASES & DISORDERS",32,,
Amador,2012,17,MYELOPROLIFERATIVE DISEASES & POORLY DIFFERENTIATED NEOPLASMS,28,,
Amador,2012,18,INFECTIOUS & PARASITIC DISEASES,324,,
Amador,2012,19,MENTAL DISEASES & DISORDERS,101,,
Amador,2012,20,ALCOHOL-DRUG USE AND ALCOHOL-DRUG INDUCED ORGANIC MENTAL DISEASES,22,,
Amador,2012,21,"INJURIES, POISONINGS, AND TOXIC EFFECTS OF DRUGS",72,,
Amador,2012,22,BURNS,2,,
Amador,2012,23,FACTORS ON HEALTH STATUS & OTHER CONTACTS WITH HEALTH SERVICES,70,,
Amador,2012,24,MULTIPLE SIGNFICANT TRAUMA,13,,
Amador,2012,25,HUMAN IMMUNODEFICIENCY VIRUS INFECTIONS,3,,
Amador,2013,1,"NERVOUS SYSTEM, DISEASES & DISORDERS",241,,
Amador,2013,2,"EYE, DISEASES & DISORDERS",2,,
Amador,2013,3,"EAR, NOSE, MOUTH, & THROAT, DISEASES & DISORDERS",30,,
Amador,2013,4,"RESPIRATORY SYSTEM, DISEASES & DISORDERS",370,,
Amador,2013,5,"CIRCULATORY SYSTEM, DISEASES & DISORDERS",692,,
Amador,2013,6,"DIGESTIVE SYSTEM, DISEASES & DISORDERS",427,,
Amador,2013,7,"HEPATOBILIARY SYSTEM & PANCREAS, DISEASES & DISORDERS",147,,
Amador,2013,8,"MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE, DISEASES & DISORDERS",517,,
